,track_ids,track_name,artist_name,released_year,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
57,0PG9fbaaHFHfre2gUVo7AN,Please Me,"Cardi B, Bruno Mars",2019,75,0.747,0.57,1,-6.711,1,0.081,0.0642,0.0,0.0832,0.65,133.992,audio_features,0PG9fbaaHFHfre2gUVo7AN,spotify:track:0PG9fbaaHFHfre2gUVo7AN,https://api.spotify.com/v1/tracks/0PG9fbaaHFHfre2gUVo7AN,https://api.spotify.com/v1/audio-analysis/0PG9fbaaHFHfre2gUVo7AN,200890,4
58,2rMAtCaTj16NptyVfEIeAC,Cash Shit (feat. DaBaby),"Megan Thee Stallion, DaBaby",2019,63,0.921,0.635,1,-4.904,1,0.416,0.0218,0.0,0.0946,0.549,130.028,audio_features,2rMAtCaTj16NptyVfEIeAC,spotify:track:2rMAtCaTj16NptyVfEIeAC,https://api.spotify.com/v1/tracks/2rMAtCaTj16NptyVfEIeAC,https://api.spotify.com/v1/audio-analysis/2rMAtCaTj16NptyVfEIeAC,192540,4
59,6irE4Fbjbry3czv7mTxVSB,24/7 (feat. Ella Mai),"Meek Mill, Ella Mai",2018,55,0.657,0.711,0,-5.355,1,0.374,0.0135,0.0,0.221,0.368,86.957,audio_features,6irE4Fbjbry3czv7mTxVSB,spotify:track:6irE4Fbjbry3czv7mTxVSB,https://api.spotify.com/v1/tracks/6irE4Fbjbry3czv7mTxVSB,https://api.spotify.com/v1/audio-analysis/6irE4Fbjbry3czv7mTxVSB,221522,4
60,5Z8HZM6iQMhhqyPcCGY5g9,Hot (feat. Gunna),"Young Thug, Gunna",2019,67,0.855,0.651,0,-8.044,0,0.235,0.063,0.0,0.0772,0.559,111.997,audio_features,5Z8HZM6iQMhhqyPcCGY5g9,spotify:track:5Z8HZM6iQMhhqyPcCGY5g9,https://api.spotify.com/v1/tracks/5Z8HZM6iQMhhqyPcCGY5g9,https://api.spotify.com/v1/audio-analysis/5Z8HZM6iQMhhqyPcCGY5g9,193027,4
61,65ncivMktnxjgAypk1DoEl,Sucker,Jonas Brothers,2020,10,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,audio_features,65ncivMktnxjgAypk1DoEl,spotify:track:65ncivMktnxjgAypk1DoEl,https://api.spotify.com/v1/tracks/65ncivMktnxjgAypk1DoEl,https://api.spotify.com/v1/audio-analysis/65ncivMktnxjgAypk1DoEl,181040,4
62,2rxQMGVafnNaRaXlRMWPde,Beautiful Crazy,Luke Combs,2018,82,0.551,0.402,11,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313,audio_features,2rxQMGVafnNaRaXlRMWPde,spotify:track:2rxQMGVafnNaRaXlRMWPde,https://api.spotify.com/v1/tracks/2rxQMGVafnNaRaXlRMWPde,https://api.spotify.com/v1/audio-analysis/2rxQMGVafnNaRaXlRMWPde,193200,4
63,5rU6kDNXZLXIinFezpbWbO,Tap (feat. Meek Mill),"NAV, Meek Mill",2019,57,0.901,0.676,2,-7.033,1,0.251,0.0646,0.0,0.0863,0.452,85.015,audio_features,5rU6kDNXZLXIinFezpbWbO,spotify:track:5rU6kDNXZLXIinFezpbWbO,https://api.spotify.com/v1/tracks/5rU6kDNXZLXIinFezpbWbO,https://api.spotify.com/v1/audio-analysis/5rU6kDNXZLXIinFezpbWbO,148278,4
64,7lAK3oHbfEnvUQWosrMMpR,YOSEMITE,Travis Scott,2018,73,0.785,0.554,0,-6.571,1,0.0409,0.283,3.4e-06,0.116,0.144,128.047,audio_features,7lAK3oHbfEnvUQWosrMMpR,spotify:track:7lAK3oHbfEnvUQWosrMMpR,https://api.spotify.com/v1/tracks/7lAK3oHbfEnvUQWosrMMpR,https://api.spotify.com/v1/audio-analysis/7lAK3oHbfEnvUQWosrMMpR,150043,4
65,3HVWdVOQ0ZA45FuZGSfvns,I Don't Care (with Justin Bieber),"Ed Sheeran, Justin Bieber",2019,74,0.798,0.676,6,-5.041,1,0.0442,0.0902,0.0,0.0894,0.843,101.956,audio_features,3HVWdVOQ0ZA45FuZGSfvns,spotify:track:3HVWdVOQ0ZA45FuZGSfvns,https://api.spotify.com/v1/tracks/3HVWdVOQ0ZA45FuZGSfvns,https://api.spotify.com/v1/audio-analysis/3HVWdVOQ0ZA45FuZGSfvns,219947,4
66,6wWaVoUOzLQJHd3bWAUpdZ,"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby, Gunna, Drake",2018,68,0.753,0.686,1,-5.414,0,0.284,0.0677,0.0,0.193,0.886,132.055,audio_features,6wWaVoUOzLQJHd3bWAUpdZ,spotify:track:6wWaVoUOzLQJHd3bWAUpdZ,https://api.spotify.com/v1/tracks/6wWaVoUOzLQJHd3bWAUpdZ,https://api.spotify.com/v1/audio-analysis/6wWaVoUOzLQJHd3bWAUpdZ,194732,4
